Dataset,Model,Accuracy,F1-score,Std
politifact,GAMC,0.8057459677419354,0.8057459677419354,0.0
politifact,GMAC-Aug,0.6873991935483872,0.6873991935483872,0.0
politifact,GAMC-Lrec,0.8662298387096774,0.8662298387096774,0.0
politifact,GAMC-Lcon,0.7961693548387097,0.7961693548387097,0.0
gossipcop,GAMC,0.9368593928922996,0.9368593928922996,0.0
gossipcop,GMAC-Aug,0.9672452471355578,0.9672452471355578,0.0
gossipcop,GAMC-Lrec,0.8768320040714922,0.8768320040714922,0.0
gossipcop,GAMC-Lcon,0.9357685276332444,0.9357685276332444,0.0
