dataset,ablation,run,accuracy,f1_micro,accuracy_std,std
politifact,gamc_lcon,0,0.7961693548387097,0.7961693548387097,,
politifact,gamc_lcon,mean,0.7961693548387097,0.7961693548387097,0.0,0.0
