Dataset,Accuracy,True Precision,True Recall,True F1-score,Fake Precision,Fake Recall,Fake F1-score
Politifact,0.8596774193548387,0.8501216512245924,0.8791666666666667,0.8622717723453018,0.8770246175393235,0.8404166666666667,0.8561291179430615
Gossipcop,0.8739049494076916,0.8677642587174438,0.8828667682682282,0.8750369154418477,0.8810198877816369,0.8649340926713188,0.8726839481149753
