Dataset,Accuracy,Precision,Recall,F1-score
politifact,0.8596774193548387,0.8635731343819579,0.8597916666666667,0.8592004451441817
gossipcop,0.8739049494076916,0.8743920732495403,0.8739004304697735,0.8738604317784116
